epoch,train_loss,valid_loss,has_train_loss_improved,has_valid_loss_improved,duration
0,1.00587,0.995350956917,1,1,10.3348460197
1,0.991046,0.979272305965,1,1,10.3842890263
2,0.972449,0.960452854633,1,1,10.4159610271
3,0.952256,0.941848933697,1,1,10.3198218346
4,0.933015,0.925249934196,1,1,10.2949512005
5,0.916293,0.911633551121,1,1,10.4775800705
6,0.902325,0.900679409504,1,1,10.3946061134
7,0.890611,0.891632139683,1,1,10.4018549919
8,0.880485,0.883898317814,1,1,10.3486189842
9,0.871417,0.877144753933,1,1,10.475358963
10,0.86318,0.871098220348,1,1,10.4742560387
11,0.855659,0.865605056286,1,1,10.4681310654
12,0.84871,0.860749065876,1,1,10.5608310699
13,0.842261,0.856290519238,1,1,10.5574781895
14,0.836271,0.852248489857,1,1,10.5039620399
15,0.830747,0.848669469357,1,1,10.4512760639
16,0.825521,0.845383226871,1,1,10.4914150238
17,0.820662,0.84242272377,1,1,10.4851768017
18,0.816082,0.83974480629,1,1,10.4363279343
19,0.811752,0.837186872959,1,1,10.3863711357
20,0.807689,0.834932923317,1,1,10.3415839672
21,0.803777,0.83276695013,1,1,10.4885561466
22,0.800079,0.830809414387,1,1,10.5051300526
23,0.796599,0.828959822655,1,1,10.5439560413
24,0.793266,0.827268958092,1,1,10.409487009
25,0.790038,0.825661182404,1,1,10.3838479519
26,0.787012,0.824225842953,1,1,10.3810040951
27,0.78409,0.82285130024,1,1,10.4488868713
28,0.78129,0.821525275707,1,1,10.435557127
29,0.778601,0.820448875427,1,1,10.3794119358
30,0.776075,0.819282770157,1,1,10.3834760189
31,0.773575,0.818377017975,1,1,10.3621711731
32,0.771179,0.817326426506,1,1,10.5052888393
33,0.7689,0.816548585892,1,1,10.4789450169
34,0.76668,0.815693676472,1,1,10.4635930061
35,0.764555,0.814730942249,1,1,10.411509037
36,0.762469,0.814063370228,1,1,10.3501980305
37,0.76049,0.81340944767,1,1,10.4792230129
38,0.758564,0.812864899635,1,1,10.4900209904
39,0.756647,0.812259078026,1,1,10.4155371189
40,0.754841,0.811594009399,1,1,10.4556970596
41,0.753062,0.811085760593,1,1,10.5340418816
42,0.751352,0.810559809208,1,1,10.4600520134
43,0.749695,0.810056686401,1,1,10.4243109226
44,0.7481,0.809678554535,1,1,10.4531490803
45,0.746467,0.809242784977,1,1,10.4621839523
46,0.74496,0.809005200863,1,1,10.4063780308
47,0.743478,0.808565199375,1,1,10.4268989563
48,0.74203,0.808295071125,1,1,10.4729681015
49,0.740615,0.807955682278,1,1,10.377286911
50,0.739207,0.807602524757,1,1,10.4989378452
51,0.7379,0.807275891304,1,1,10.4657599926
52,0.736546,0.807028114796,1,1,10.483383894
53,0.735278,0.806800842285,1,1,10.4046311378
54,0.734037,0.806535482407,1,1,10.4097738266
55,0.732782,0.806218504906,1,1,10.4781639576
56,0.731601,0.806168079376,1,1,10.4540300369
57,0.730428,0.805935680866,1,1,10.3707668781
58,0.729222,0.805671274662,1,1,10.4228739738
59,0.72812,0.805725991726,1,0,10.4723758698
60,0.727016,0.805323958397,1,1,10.5562520027
61,0.726,0.805161476135,1,1,10.4828460217
62,0.724875,0.804999530315,1,1,10.4721250534
63,0.723868,0.804970622063,1,1,10.4150619507
64,0.722872,0.804803907871,1,1,10.4886701107
65,0.721869,0.804761111736,1,1,10.5196177959
66,0.720867,0.804701983929,1,1,10.4436511993
67,0.719935,0.804626882076,1,1,10.3396320343
68,0.719021,0.804531276226,1,1,10.3942010403
69,0.718098,0.804418802261,1,1,10.3208611012
70,0.717215,0.804231584072,1,1,10.3123211861
71,0.716312,0.804212272167,1,1,10.3130719662
72,0.715432,0.804086327553,1,1,10.335133791
73,0.714592,0.804017484188,1,1,10.3261868954
74,0.713748,0.803951025009,1,1,10.3833761215
75,0.712903,0.804045498371,1,0,10.2435829639
76,0.712053,0.803996443748,1,0,10.1545522213
77,0.711298,0.803920209408,1,1,10.2858951092
78,0.710543,0.803940951824,1,0,10.2438900471
79,0.709749,0.803901553154,1,1,10.3523180485
80,0.708963,0.803846478462,1,1,10.3660230637
81,0.708238,0.803982257843,1,0,10.2428719997
82,0.707467,0.803812205791,1,1,10.3016760349
83,0.706731,0.80392819643,1,0,10.1494739056
84,0.706043,0.803862988949,1,0,10.1497941017
85,0.705316,0.803851425648,1,0,10.1562259197
86,0.704601,0.803843677044,1,0,10.2220859528
87,0.703874,0.803882241249,1,0,10.2584831715
88,0.703247,0.803956389427,1,0,10.3206760883
89,0.702587,0.803974449635,1,0,10.2915401459
90,0.701933,0.803842127323,1,0,10.3587920666
91,0.70131,0.803795099258,1,1,10.374707222
92,0.700621,0.803936421871,1,0,10.256207943
93,0.700042,0.803856492043,1,0,10.3684570789
